Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
World,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"278,456.7","262,041.4","267,861.8","248,456.8","228,462.4"
World,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,"169,293.1","166,388.5","194,325.5","201,207.1","201,730.6"
World,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,"119,135.0","132,757.6","154,112.9","127,075.9","120,610.5"
World,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"99,875.8","96,338.1","121,220.3","99,352.2","86,440.4"
World,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"98,443.0","98,079.1","114,722.8","94,869.6","85,005.7"
World,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"214,063.4","180,974.7","69,284.2","53,052.7","60,182.4"
World,Mobile Phones,Honor (Shenzhen Zhixin New Information Technology Co Ltd),Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,-,"3,417.9","38,925.3","51,438.7","47,616.9"
World,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"18,874.6","33,140.0","49,736.9","43,564.0","37,992.0"
World,Mobile Phones,Motorola (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"36,769.4","33,142.3","41,289.0","37,923.6","37,559.8"
World,Mobile Phones,Itel (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,"21,234.6","27,108.6","26,981.0","24,892.3","25,753.1"
World,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,"43,301.1","40,719.2","35,006.0","29,837.0","25,368.6"
World,Mobile Phones,Infinix (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,"5,574.5","8,787.3","13,988.9","15,846.7","19,106.3"
World,Mobile Phones,Lava (Lava International Ltd),Lava International Ltd,Retail Volume,000 units,"13,918.0","14,455.0","14,899.8","15,060.8","16,156.6"
World,Mobile Phones,Tecno (Transsion Holdings),Transsion Holdings,Retail Volume,000 units,"8,805.3","9,094.1","13,240.4","14,058.2","15,139.0"
World,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,"3,850.7","5,564.5","7,937.7","8,669.5","12,975.3"
World,Mobile Phones,Google Pixel (Alphabet Inc),Alphabet Inc,Retail Volume,000 units,"5,249.8","5,372.5","6,593.5","7,716.2","10,421.3"
World,Mobile Phones,Alcatel (TCL Corp),TCL Corp,Retail Volume,000 units,"21,357.3","18,126.9","11,486.2","8,761.8","6,938.0"
World,Mobile Phones,JioPhone (Reliance Jio infocomm Ltd),Reliance Jio infocomm Ltd,Retail Volume,000 units,"37,435.9","20,653.0","9,595.8","6,680.7","6,594.5"
World,Mobile Phones,TCL (TCL Corp),TCL Corp,Retail Volume,000 units,156.1,"5,664.5","6,451.2","6,913.2","6,523.8"
World,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,"10,885.9","8,626.2","7,029.6","6,072.2","5,537.3"
World,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,"18,164.9","13,247.1","7,895.0","5,945.8","5,237.2"
World,Mobile Phones,Micromax (Micromax Informatics Ltd),Micromax Informatics Ltd,Retail Volume,000 units,"7,470.2","5,993.6","4,764.8","4,387.2","4,441.7"
World,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,"6,914.1","4,623.2","3,802.4","3,258.0","2,827.8"
World,Mobile Phones,Sharp (Hon Hai Precision Industry Co Ltd),Hon Hai Precision Industry Co Ltd,Retail Volume,000 units,"3,574.4","3,449.3","3,583.9","3,275.7","2,653.3"
World,Mobile Phones,Hisense (Hisense Group),Hisense Group,Retail Volume,000 units,"1,975.5","1,903.6","2,035.9","2,324.6","2,511.6"
World,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,"5,382.3","3,584.9","3,790.2","3,542.0","2,182.1"
World,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,"7,286.6","5,050.0","3,177.7","2,282.0","1,934.1"
World,Mobile Phones,Wiko (Tinno Mobile Technology Corp),Tinno Mobile Technology Corp,Retail Volume,000 units,"5,107.3","3,878.8","3,060.3","2,415.1","1,806.3"
World,Mobile Phones,Intex (Intex Technologies (India) Ltd),Intex Technologies (India) Ltd,Retail Volume,000 units,"11,994.9","5,705.4","2,719.4","1,894.5","1,774.1"
World,Mobile Phones,Panasonic (Panasonic Corp),Panasonic Corp,Retail Volume,000 units,"5,022.9","4,798.3","2,886.3","1,707.0","1,640.8"
World,Mobile Phones,Celkon (Celkon Impex Pvt Ltd),Celkon Impex Pvt Ltd,Retail Volume,000 units,"2,526.4","2,009.5","1,695.9","1,440.9","1,470.3"
World,Mobile Phones,Fujitsu (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,-,-,-,-,"1,387.8"
World,Mobile Phones,Cherry (Cosmic Technologies Inc),Cosmic Technologies Inc,Retail Volume,000 units,"2,653.8","2,023.9","1,567.8","1,230.8",982.8
World,Mobile Phones,Positivo (Positivo Tecnologia SA),Positivo Tecnologia SA,Retail Volume,000 units,"1,652.6","1,335.8","1,116.6","1,034.5",977.8
World,Mobile Phones,iBall (Best IT World (India) Pvt Ltd),Best IT World (India) Pvt Ltd,Retail Volume,000 units,"1,633.3","1,315.4","1,107.5",945.0,959.2
World,Mobile Phones,Karbonn (Karbonn Mobile India Pvt Ltd),Karbonn Mobile India Pvt Ltd,Retail Volume,000 units,"7,076.0","4,363.5","1,431.0",900.2,777.7
World,Mobile Phones,Meizu (Meizu Telecom Equipment Co Ltd),Meizu Telecom Equipment Co Ltd,Retail Volume,000 units,"5,237.4","2,757.6","1,371.8",736.1,665.5
World,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,"37,748.7","28,977.4","17,304.8","5,076.3",598.3
World,Mobile Phones,Kyocera (Kyocera Corp),Kyocera Corp,Retail Volume,000 units,"1,153.6","1,095.9","1,076.8",609.8,553.8
World,Mobile Phones,bq (Mundo Reader SL),Mundo Reader SL,Retail Volume,000 units,"1,219.8",734.8,389.2,267.2,459.3
World,Mobile Phones,Fly (Meridian Telecom Plc),Meridian Telecom Plc,Retail Volume,000 units,"1,319.7",900.1,739.0,407.6,431.6
World,Mobile Phones,myPhone (Solid Group Inc),Solid Group Inc,Retail Volume,000 units,"1,751.3","1,253.9",503.0,434.4,396.3
World,Mobile Phones,Nexian (Metrotech Jaya Komunika Indonesia PT),Metrotech Jaya Komunika Indonesia PT,Retail Volume,000 units,"1,125.0",952.9,686.1,505.5,366.5
World,Mobile Phones,Coolpad (Yulong Computer Communication Technology (Shenzhen) Co Ltd),Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,180.0,117.0,104.2,307.3,224.6
World,Mobile Phones,Maxx (Maxx Moblink Pvt Ltd),Maxx Moblink Pvt Ltd,Retail Volume,000 units,"2,118.0","1,179.3",458.6,205.1,179.9
World,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,772.8,256.5,201.0,102.2,61.6
World,Mobile Phones,Spice (Spice Group),Spice Group,Retail Volume,000 units,"1,512.8",842.3,285.5,87.9,60.0
World,Mobile Phones,K-Touch (Beijing Tianyu Communication Equipment Co Ltd),Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,46.0,41.0,97.0,52.3,42.1
World,Mobile Phones,Evercoss (Aries Indo Global PT),Aries Indo Global PT,Retail Volume,000 units,346.5,175.1,91.1,40.4,33.5
World,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,716.7,435.8,58.8,55.5,29.8
World,Mobile Phones,Advan (Intech Surya Abadi PT),Intech Surya Abadi PT,Retail Volume,000 units,563.0,201.6,73.4,19.3,11.5
World,Mobile Phones,Fujitsu (FCNT Ltd),FCNT Ltd,Retail Volume,000 units,-,-,"1,392.4","2,005.1",-
World,Mobile Phones,Fujitsu (Fujitsu Connected Technologies Ltd),Fujitsu Connected Technologies Ltd,Retail Volume,000 units,"1,272.9","1,476.6",-,-,-
World,Mobile Phones,Fujitsu (Fujitsu Ltd),Fujitsu Ltd,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Honor (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,"7,892.1",-,-,-,-
World,Mobile Phones,I-Mobile (Samart Corp Plc),Samart Corp Plc,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,"Letv (Leshi Internet Information & Technology Corp, Beijing)","Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Lumia (Microsoft Corp),Microsoft Corp,Retail Volume,000 units,11.6,0.3,0.0,-,-
World,Mobile Phones,Positivo (Positivo Informática SA),Positivo Informática SA,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Sharp (Sharp Corp),Sharp Corp,Retail Volume,000 units,-,-,-,-,-
World,Mobile Phones,Videocon (Videocon Industries Ltd),Videocon Industries Ltd,Retail Volume,000 units,-,-,-,-,-
