Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2019,2020,2021,2022,2023
China,Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,32490,33018,47476.6,46273.2,45347.7
China,Mobile Phones,Vivo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,65415,57415,71022.4,52992.5,44061
China,Mobile Phones,Honor (Shenzhen Zhixin New Information Technology Co Ltd),Shenzhen Zhixin New Information Technology Co Ltd,Retail Volume,000 units,-,-,35898,48823.9,44019
China,Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,64219,57348,69792.5,48484.2,38513.7
China,Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,39227,38442,48959.7,38996.3,35942
China,Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,136870.4,119847,32957.9,23573.5,31514.2
China,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,1987.1,9538,6398.7,5975.3
China,Mobile Phones,OnePlus (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,1250,2375,2066.3,5165.6
China,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,3800.1,2339.7,1922.2,1753.2,1686.3
China,Mobile Phones,Newsmy (Beijing Newman Ideal Digital Technology Co Ltd),Beijing Newman Ideal Digital Technology Co Ltd,Retail Volume,000 units,787.7,835,920.2,976.8,1005.3
China,Mobile Phones,ZTE (ZTE Corp),ZTE Corp,Retail Volume,000 units,1318.7,1221.2,1168.3,833.8,642.1
China,Mobile Phones,Meizu (Meizu Telecom Equipment Co Ltd),Meizu Telecom Equipment Co Ltd,Retail Volume,000 units,4876,2438,1150.7,588,454.3
China,Mobile Phones,Motorola (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,230,184,384.2,402.7,436.3
China,Mobile Phones,Nubia (Nubia Technology Co Ltd),Nubia Technology Co Ltd,Retail Volume,000 units,702,391.7,440.7,381.4,352.4
China,Mobile Phones,Nokia (Nokia Corp),Nokia Corp,Retail Volume,000 units,674,527.6,340.2,288,288.1
China,Mobile Phones,Coolpad (Yulong Computer Communication Technology (Shenzhen) Co Ltd),Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,180,117,104.2,307.3,224.6
China,Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,126,95,105.6,94.5,84.9
China,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,751,225,121.7,78.7,55.8
China,Mobile Phones,K-Touch (Beijing Tianyu Communication Equipment Co Ltd),Beijing Tianyu Communication Equipment Co Ltd,Retail Volume,000 units,46,41,97,52.3,42.1
China,Mobile Phones,Sony (Sony Corp),Sony Corp,Retail Volume,000 units,101,39,38.4,31.2,27.3
China,Mobile Phones,Lenovo (Lenovo Group Ltd),Lenovo Group Ltd,Retail Volume,000 units,2178,1506.8,439.5,94.6,14.3
China,Mobile Phones,HTC (HTC Corp),HTC Corp,Retail Volume,000 units,147,-,-,-,-
China,Mobile Phones,"Letv (Leshi Internet Information & Technology Corp, Beijing)","Leshi Internet Information & Technology Corp, Beijing",Retail Volume,000 units,-,-,-,-,-
China,Mobile Phones,LG (LG Corp),LG Corp,Retail Volume,000 units,-,-,-,-,-
China,Mobile Phones,Meitu (Meitu Inc),Meitu Inc,Retail Volume,000 units,289,-,-,-,-
China,Mobile Phones,TCL (TCL Corp),TCL Corp,Retail Volume,000 units,21.9,-,-,-,-
China,Mobile Phones,Others,Others,Retail Volume,000 units,16324.4,6867.4,5044.8,5651.1,5152.7
China,Mobile Phones,Total,Total,Retail Volume,000 units,370774.2,326135.5,330298,279142.1,261005
China,Retail,Others,Others,Retail Value RSP excl Sales Tax,CNY million,16824135.2,15490202,16712126,16012388,16355483.7
China,Retail,Total,Total,Retail Value RSP excl Sales Tax,CNY million,21910514.4,21617121.4,23824544.1,25076441.8,26001710
China,Retail Offline,Others,Others,Retail Value RSP excl Sales Tax,CNY million,15855848.6,14626567.1,15922189.8,15220769.6,15533570.3
China,Retail Offline,Total,Total,Retail Value RSP excl Sales Tax,CNY million,16957091.5,15668540.2,16984023.2,16240645.1,16565632.1
China,Non-Grocery Retailers,D Phone (Beijing Digital Telecom Co Ltd),Beijing Digital Telecom Co Ltd,Retail Value RSP excl Sales Tax,CNY million,8484.7,6898,4803.2,6117.1,8044
China,Non-Grocery Retailers,Others,Others,Retail Value RSP excl Sales Tax,CNY million,6900395.2,6024766.4,6672008,6220481.2,6372988.9
China,Non-Grocery Retailers,Total,Total,Retail Value RSP excl Sales Tax,CNY million,7673615.1,6714284.3,7452350.9,6933980.8,7132330.7
China,Appliances and Electronics Specialists,D Phone (Beijing Digital Telecom Co Ltd),Beijing Digital Telecom Co Ltd,Retail Value RSP excl Sales Tax,CNY million,8484.7,6898,4803.2,6117.1,8044
China,Appliances and Electronics Specialists,Others,Others,Retail Value RSP excl Sales Tax,CNY million,753613.6,597793.5,648342.8,675281.6,675954.2
China,Appliances and Electronics Specialists,Total,Total,Retail Value RSP excl Sales Tax,CNY million,920966.6,726366.4,775311.9,748175.9,739946
China,Retail E-Commerce,Others,Others,Retail Value RSP excl Sales Tax,CNY million,692028.2,572689,462333,453169.8,457014.6
China,Retail E-Commerce,Total,Total,Retail Value RSP excl Sales Tax,CNY million,4953423,5948581.2,6840521,8835796.7,9436077.9
"Hong Kong, China",Mobile Phones,iPhone (Apple Inc),Apple Inc,Retail Volume,000 units,1916.8,1737.1,1826.6,1784.8,1738.8
"Hong Kong, China",Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,1546.9,1472.6,1432.4,1424.6,1311.4
"Hong Kong, China",Mobile Phones,Xiaomi (Xiaomi Corp),Xiaomi Corp,Retail Volume,000 units,267.5,259.5,314.5,315.2,303
"Hong Kong, China",Mobile Phones,Huawei (Huawei Technologies Co Ltd),Huawei Technologies Co Ltd,Retail Volume,000 units,233.8,209.5,180.5,165.4,153.1
"Hong Kong, China",Mobile Phones,Oppo (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,75.1,53.3,57.6,59.4,58
"Hong Kong, China",Mobile Phones,Asus (AsusTek Computer Inc),AsusTek Computer Inc,Retail Volume,000 units,58.2,57,64.5,66.5,53.3
